60
1;P001;30;1;80
2;P002;100;0;2
3;P003;80;0;10
4;P004;25;1;100
5;P005;60;0;40
6;P006;15;1;95
7;P007;220;0;5
8;P008;75;1;70
9;P009;40;0;15
10;P010;10;1;99
11;P011;300;0;1
12;P012;55;1;60
13;P013;90;0;20
14;P014;35;1;88
15;P015;120;0;45
16;P016;18;1;92
17;P017;250;0;8
18;P018;65;1;50
19;P019;45;0;12
20;P020;28;1;97
21;P021;70;0;30
22;P022;85;1;76
23;P023;160;0;25
24;P024;22;1;90
25;P025;130;0;14
26;P026;95;1;81
27;P027;210;0;6
28;P028;48;1;68
29;P029;33;0;22
30;P030;12;1;98
31;P031;310;0;3
32;P032;58;1;66
33;P033;105;0;18
34;P034;26;1;87
35;P035;140;0;35
36;P036;19;1;94
37;P037;270;0;9
38;P038;72;1;73
39;P039;43;0;11
40;P040;16;1;96
41;P041;52;0;44
42;P042;88;1;79
43;P043;175;0;17
44;P044;24;1;91
45;P045;115;0;28
46;P046;67;1;63
47;P047;205;0;7
48;P048;39;1;84
49;P049;50;0;19
50;P050;14;1;93
51;P051;320;0;4
52;P052;62;1;65
53;P053;98;0;16
54;P054;21;1;89
55;P055;145;0;38
56;P056;17;1;97
57;P057;260;0;13
58;P058;74;1;71
59;P059;47;0;21
60;P060;11;1;100
